TARGET_CLASS,algorithm,BranchCoverage,CoverageTimeline_T1,CoverageTimeline_T2,CoverageTimeline_T3,CoverageTimeline_T4,CoverageTimeline_T5,CoverageTimeline_T6,CoverageTimeline_T7,CoverageTimeline_T8,CoverageTimeline_T9,CoverageTimeline_T10,CoverageTimeline_T11,CoverageTimeline_T12,CoverageTimeline_T13,CoverageTimeline_T14,CoverageTimeline_T15,CoverageTimeline_T16,CoverageTimeline_T17,CoverageTimeline_T18,CoverageTimeline_T19,CoverageTimeline_T20
CharArrayWriter,NOVELTY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CharArrayWriter,NOVELTY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CharArrayWriter,NOVELTY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CharArrayWriter,NOVELTY,1,0.0606060606,0.0606060606,0.1472758675,0.4052217213,0.6631675751,0.7575757576,0.7575757576,0.7575757576,0.7575757576,0.7575757576,0.7575757576,0.7775816417,1,1,1,1,1,1,1,1
CharArrayWriter,NOVELTY,1,0.3636363636,0.3636363636,0.3731486279,0.4415821838,0.5100157397,0.5784492956,0.6468828515,0.7153164074,0.7837499633,0.8521835192,0.9206170751,0.9890506311,1,1,1,1,1,1,1,1
CharArrayWriter,NOVELTY,1,0.0909090909,0.0909090909,0.0909090909,0.2402546313,0.5263571991,0.8124597668,0.8312622629,0.8446096555,0.8579570481,0.8713044407,0.8846518333,0.8979992259,0.9113466184,0.924694011,0.9380414036,0.9513887962,0.9647361888,0.9780835814,0.991430974,1
CharArrayWriter,NOVELTY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CharArrayWriter,NOVELTY,1,0.1212121212,0.1212121212,0.1392941763,0.2344628875,0.3296315986,0.4248003098,0.5199690209,0.6151377321,0.7103064432,0.8054751544,0.9006438656,0.9958125767,1,1,1,1,1,1,1,1
CharArrayWriter,NOVELTY,1,0.6060606061,0.6060606061,0.6060606061,0.6200092318,0.6597489064,0.699488581,0.7392282555,0.7789679301,0.8187076046,0.8584472792,0.8981869538,0.9379266283,0.9776663029,1,1,1,1,1,1,1
CharArrayWriter,NOVELTY,1,0.2424242424,0.2424242424,0.2606620539,0.5006332573,0.7406044608,0.8003191423,0.8158114891,0.8313038359,0.8467961827,0.8622885295,0.8777808762,0.893273223,0.9087655698,0.9242579166,0.9397502634,0.9552426102,0.9707349569,0.9862273037,1,1
